,Latitude,Longitude
count,492966.0,492966.0
mean,41.84447381290471,-87.66953358374863
std,0.08671197891244309,0.059235728906489656
min,41.644589713,-87.939732936
25%,41.769063592,-87.711603991
50%,41.86299009,-87.663046301
75%,41.907116578,-87.62743954
max,42.022671246,-87.524529465
